"filename", "language", "Markdown", "YAML", "MS SQL", "PostCSS", "TypeScript", "JavaScript", "HTML", "XML", "pip requirements", "Ini", "JSON", "Python", "comment", "blank", "total"
"c:\Users\YASH\TradeWise\backend\app\models\learner_subscription.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 3, 6, 50
"c:\Users\YASH\TradeWise\backend\app\models\learner_trade_rating.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 3, 6, 42
"c:\Users\YASH\TradeWise\backend\app\models\learner_trade_unlock.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 4, 7, 48
"c:\Users\YASH\TradeWise\backend\app\models\login_activity.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 4, 6, 41
"c:\Users\YASH\TradeWise\backend\app\models\notification.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 4, 7, 53
"c:\Users\YASH\TradeWise\backend\app\models\notification_preferences.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 4, 6, 48
"c:\Users\YASH\TradeWise\backend\app\models\payment.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 4, 7, 54
"c:\Users\YASH\TradeWise\backend\app\models\payout.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 4, 7, 47
"c:\Users\YASH\TradeWise\backend\app\models\pro_trader_profile.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 10, 13, 113
"c:\Users\YASH\TradeWise\backend\app\models\profile.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 4, 6, 39
"c:\Users\YASH\TradeWise\backend\app\models\report.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 4, 7, 46
"c:\Users\YASH\TradeWise\backend\app\models\revenue_split.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 4, 6, 48
